date,year,month,day,b1,b2,b3,b4,b5,pb,pp,tickets,pbpurchase,pppurchase,jackpot,winners,rollovers,value,wb5pb_jp,wb5_1000000,wb4pb_50000,wb4_100,wb3pb_100,wb3_7,wb2pb_7,wb1pb_4,wb0pb_4,wb5pp_2000000,wb4pbpp_150000,wb4pp_300,wb3pbpp_300,wb3pp_21,wb2pbpp_21,wb1pbpp_12,wb0pbpp_12
6/17/2020,2020,6,17,10,7,68,64,63,10,3,9243787,18487574,2357707,22000000,0,2,-1.604845488,0,1,5,145,424,10170,9586,78336,184812,0,1,52,127,3469,3495,27703,63511
6/13/2020,2020,6,13,65,12,2,32,50,5,3,10006606,20013212,2567607,20000000,0,1,-1.611690084,0,0,6,157,506,12148,11191,87093,201850,1,1,70,168,4198,3841,29584,69176
6/10/2020,2020,6,10,33,10,41,54,52,18,5,9588292,19176584,2394843,22000000,1,0,-1.604845488,1,0,6,143,485,11432,9625,77172,184121,0,2,45,144,3668,3280,25680,61761
6/6/2020,2020,6,6,68,38,69,1,17,18,2,10675612,21351224,2683881,20000000,0,1,-1.611690084,0,0,5,183,471,12367,10504,84414,204948,1,3,82,179,4100,3555,28303,68727
6/3/2020,2020,6,3,64,26,1,3,41,17,2,12003071,24006142,2869470,136400000,1,0,-1.213334619,1,0,5,232,622,15633,13610,100563,234896,0,7,76,224,4765,4303,31210,74251
5/30/2020,2020,5,30,32,13,58,41,60,14,2,12966773,25933546,3118428,125000000,0,15,-1.252348814,0,0,15,226,615,15380,12774,100333,252111,0,1,80,184,4842,3977,31047,79462
5/27/2020,2020,5,27,58,38,59,64,68,21,3,11117080,22234160,2637479,114000000,0,14,-1.28999409,0,0,7,183,462,12292,10312,80793,225047,0,3,64,155,3706,3167,25105,70826
5/23/2020,2020,5,23,2,23,8,18,21,16,4,12095670,24191340,2803976,104000000,0,13,-1.324217068,0,0,14,651,823,25803,14601,97492,220150,1,2,210,256,8302,4278,28575,63549
5/20/2020,2020,5,20,42,40,50,18,34,9,2,10064069,20128138,2385903,95000000,0,12,-1.355017748,0,1,4,170,490,12122,10304,83656,213549,0,1,58,142,3665,3270,26781,68906
5/16/2020,2020,5,16,8,12,26,42,39,11,2,10841380,21682760,2617108,86000000,0,11,-1.385818428,0,1,8,293,742,17262,13832,98513,223610,0,4,67,279,5692,4609,31892,72351
5/13/2020,2020,5,13,57,54,53,56,39,20,3,9502702,19005404,2306234,77000000,0,10,-1.416619109,0,0,5,187,426,10451,8580,68354,184131,1,2,52,117,3350,2728,21240,58789
5/9/2020,2020,5,9,42,12,65,48,18,19,5,10374882,20749764,2499199,68000000,0,9,-1.447419789,0,0,6,214,474,12587,10716,84171,204347,1,1,57,155,3868,3394,26708,64628
5/6/2020,2020,5,6,65,8,7,50,35,20,4,8986652,17973304,2180324,59000000,0,8,-1.478220469,0,1,8,171,387,10753,9259,71598,164483,1,1,57,124,3337,2944,22466,51743
5/2/2020,2020,5,2,58,33,13,68,16,24,5,9946987,19893974,2418817,51000000,0,7,-1.505598852,0,0,5,171,451,11477,9594,76901,188071,0,0,61,134,3608,3134,24503,60201
4/29/2020,2020,4,29,49,61,67,2,20,20,2,8353661,16707322,2040544,43000000,0,6,-1.532977234,0,1,6,136,365,9160,8347,64440,154560,0,6,43,122,2767,2754,20633,49481
4/25/2020,2020,4,25,1,21,3,57,47,18,2,8976518,17953036,2199573,37000000,0,5,-1.553511021,0,0,10,190,435,12285,9928,73740,170348,0,1,58,137,3993,3300,24123,55734
4/22/2020,2020,4,22,1,40,69,33,35,24,5,7885946,15771892,1930814,29000000,0,4,-1.580889404,0,1,4,137,369,9293,7441,60368,148934,1,1,33,123,2839,2342,19563,48172
4/18/2020,2020,4,18,46,63,56,4,44,19,2,8739665,17479330,2153219,24000000,0,3,-1.598000893,0,3,7,158,329,9704,8623,69336,171858,0,4,44,128,3165,2733,22174,56567
4/15/2020,2020,4,15,10,33,41,12,36,2,3,7569646,15139292,1863800,22000000,0,2,-1.604845488,0,1,6,183,415,10710,8608,62608,140451,0,0,51,116,3393,2739,20068,44742
4/11/2020,2020,4,11,29,47,30,22,42,17,3,8554534,17109068,2054676,20000000,0,1,-1.611690084,0,0,6,145,413,11006,9027,70104,166610,0,3,45,145,3357,3023,22367,53507
4/8/2020,2020,4,8,48,54,39,2,37,5,3,10906522,21813044,2371551,190000000,1,0,-1.029899456,1,1,10,218,536,13396,11692,94903,239571,0,4,65,132,3633,3288,26868,69170
4/4/2020,2020,4,4,40,43,31,8,39,4,3,11790833,23581666,2582559,180000000,0,15,-1.064122434,0,1,9,223,631,15424,13561,104104,246782,1,5,54,160,4370,3753,29117,69095
4/1/2020,2020,4,1,60,45,48,33,35,16,2,10875742,21751484,2355143,170000000,0,14,-1.098345412,0,0,8,212,468,12994,10769,82962,209561,0,2,66,118,3498,2787,21844,56361
3/28/2020,2020,3,28,40,7,55,66,48,11,2,11820223,23640446,2571251,160000000,0,13,-1.13256839,0,1,7,201,557,14151,12965,106041,257439,0,2,55,153,3810,3653,30543,74122
3/25/2020,2020,3,25,42,9,5,27,39,16,2,10847664,21695328,2324527,150000000,0,12,-1.166791368,0,2,10,308,640,18222,12428,89968,205762,2,3,83,178,5036,3585,24971,55960
3/21/2020,2020,3,21,69,23,2,59,40,13,2,12443051,24886102,2665230,140000000,0,11,-1.201014346,0,1,6,243,642,15407,14329,114424,277637,0,0,47,200,4193,3927,32788,78698
3/18/2020,2020,3,18,27,15,59,44,63,8,4,12137341,24274682,2525740,130000000,0,10,-1.235237325,0,1,13,232,588,15193,13408,104848,261644,0,5,62,150,3895,3378,27418,68396
3/14/2020,2020,3,14,26,32,9,23,30,8,3,14549382,29098764,3221134,120000000,0,9,-1.269460303,0,1,14,384,945,23663,18479,131036,294992,0,8,105,295,7134,5165,36976,82107
