year,month,day,b1,b2,b3,b4,b5,pb,pp,tickets,jackpot,winners,rollovers,value
2020,6,12,65,12,2,32,50,5,3,10006606,20000000,0,1,
2020,6,9,33,10,41,54,52,18,5,9588292,22000000,1,0,-1.604845
2020,6,6,68,38,69,1,17,18,2,10675612,20000000,0,1,-1.61169
2020,6,3,64,26,1,3,41,17,2,12003071,136400000,1,0,-1.213335
2020,5,30,32,13,58,41,60,14,2,12966773,125000000,0,15,-1.252349
2020,5,27,58,38,59,64,68,21,3,11117080,114000000,0,14,-1.289994
2020,5,23,2,23,8,18,21,16,4,12095670,104000000,0,13,-1.324217
2020,5,20,42,40,50,18,34,9,2,10064069,95000000,0,12,-1.355018
2020,5,16,8,12,26,42,39,11,2,10841380,86000000,0,11,-1.385818
2020,5,13,57,54,53,56,39,20,3,9502702,77000000,0,10,-1.416619
2020,5,9,42,12,65,48,18,19,5,10374882,68000000,0,9,-1.44742
2020,5,6,65,8,7,50,35,20,4,8986652,59000000,0,8,-1.47822
2020,5,2,58,33,13,68,16,24,5,9946987,51000000,0,7,-1.505599
2020,4,29,49,61,67,2,20,20,2,8353661,43000000,0,6,-1.532977
2020,4,25,1,21,3,57,47,18,2,8976518,37000000,0,5,-1.553511
2020,4,22,1,40,69,33,35,24,5,7885946,29000000,0,4,-1.580889
2020,4,18,46,63,56,4,44,19,2,8739665,24000000,0,3,-1.598001
2020,4,15,10,33,41,12,36,2,3,7569646,22000000,0,2,-1.604845
2020,4,11,29,47,30,22,42,17,3,8554534,20000000,0,1,-1.61169
2020,4,8,48,54,39,2,37,5,3,10906522,190000000,1,0,-1.029899
2020,4,4,40,43,31,8,39,4,3,11790833,180000000,0,15,-1.064122
2020,4,1,60,45,48,33,35,16,2,10875742,170000000,0,14,-1.098345
2020,3,28,40,7,55,66,48,11,2,11820223,160000000,0,13,-1.132568
2020,3,25,42,9,5,27,39,16,2,10847664,150000000,0,12,-1.166791
2020,3,21,69,23,2,59,40,13,2,12443051,140000000,0,11,-1.201014
2020,3,18,27,15,59,44,63,8,4,12137341,130000000,0,10,-1.235237
2020,3,14,26,32,9,23,30,8,3,14549382,120000000,0,9,-1.26946
2020,3,11,29,50,67,4,49,2,4,13334186,110000000,0,8,-1.303683
2020,3,7,15,62,7,21,33,23,2,14830583,100000000,0,7,-1.337906
2020,3,4,68,60,18,43,58,14,2,12523260,90000000,0,6,-1.372129
2020,2,29,24,50,46,44,51,13,3,13419449,80000000,0,5,-1.406352
2020,2,26,27,29,36,47,8,24,3,11511704,70000000,0,4,-1.440575
2020,2,22,61,62,37,39,25,11,3,12482210,60000000,0,3,-1.474798
2020,2,19,15,10,12,56,19,19,2,10766028,50000000,0,2,-1.509021
2020,2,15,32,16,36,46,35,3,3,11591554,40000000,0,1,-1.543244
2020,2,12,55,68,47,54,14,25,2,11224983,70000000,1,0,-1.440575
2020,2,8,59,66,35,50,49,6,2,12270206,60000000,0,3,-1.474798
2020,2,5,57,41,35,30,23,2,3,10931842,50000000,0,2,-1.509021
2020,2,1,33,60,54,57,12,13,4,13389560,40000000,0,1,-1.543244
2020,1,29,12,60,9,15,31,2,2,35133109,396900000,1,0,-0.321826
2020,1,25,36,17,2,67,9,18,2,32362367,373000000,0,24,-0.403619
2020,1,22,33,59,44,67,11,8,3,27701764,343000000,0,23,-0.506288
2020,1,18,24,68,20,38,56,18,2,26961131,321000000,0,22,-0.581578
2020,1,15,39,55,53,41,68,19,2,23291790,296000000,0,21,-0.667136
2020,1,11,23,59,31,3,21,3,2,22687261,277000000,0,20,-0.73216
2020,1,8,7,43,56,4,2,22,4,20715540,258000000,0,19,-0.797183
2020,1,4,54,1,25,21,11,7,2,21381004,237000000,0,18,-0.869051
2020,1,1,49,53,57,59,62,26,2,20319594,220000000,0,17,-0.927231
2019,12,28,59,23,39,20,60,18,2,19170286,200000000,0,16,-0.995676
2019,12,25,4,16,2,30,46,20,2,17300095,183000000,0,15,-1.053856
2019,12,21,50,35,67,19,31,14,2,16491521,171000000,0,14,-1.094923
